repo,file,line,rule_id,message,verdict
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,27,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,29,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,31,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,33,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,83,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,85,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,135,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,269,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,286,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,301,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_article5.py,320,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_french_3_scenarios.py,65,EU-AIA-005a,Potential social scoring implementation,
litellm,tests/guardrails_tests/test_eu_ai_act_french_3_scenarios.py,78,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/query_engine.py,43,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/query_engine.py,103,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,18,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,30,EU-AIA-005a,Potential social scoring implementation,
llama_index,llama-index-integrations/agent/llama-index-agent-agentmesh/llama_index/agent/agentmesh/trust.py,44,EU-AIA-005a,Potential social scoring implementation,
